临时,#genre#
八大第一台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/badafirst/playlist.m3u8
八大综合台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/badazhonghe/playlist.m3u8
八大戏剧台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/badadrama/playlist.m3u8
纬来日本台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/videolandjapan/playlist.m3u8
纬来体育,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/videolandsport/playlist.m3u8
纬来电影台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/videolandmovie/playlist.m3u8
東森LIVE,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/ettvnews/playlist.m3u8
東森戏剧,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/ettvdrama/playlist.m3u8
东森财经新闻,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/ettvcaijing_twn/playlist.m3u8
东森洋片,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/ettvwestern/playlist.m3u8
东森超视,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/ettvsuper/playlist.m3u8
东森综合台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/ettvzhonghe/playlist.m3u8
非凡新闻,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/feifannews_twn/playlist.m3u8
年代新闻台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/niandainews_twn/playlist.m3u8
靖天卡通,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/jingtiancartoon_twn/playlist.m3u8
靖天国际台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/jingtianintl_twn/playlist.m3u8
动物星球,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/animalplanet_twn/playlist.m3u8
HGTV,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/HGTV/playlist.m3u8
探索频道,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/ba86fcd935/playlist.m3u8
探索频道,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/discoveryhd_twn/playlist.m3u8
探索,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/discoverych_twn/playlist.m3u8
探索亚洲,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/discoverytwn_twn/playlist.m3u8
国家地理野生,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/natgeowild_twn/playlist.m3u8
国家地理,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/natgeohd_twn/playlist.m3u8
博斯运动 1,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/bosisport1_twn/playlist.m3u8
博斯运动2,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/bosisport2_twn/playlist.m3u8
博斯无限,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/bosiunlimited_twn/playlist.m3u8
博斯高球1,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/bosigolf1_twn/playlist.m3u8
博斯高球2,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/bosigolf2_twn/playlist.m3u8
ELEVEN 1,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/golfchannel_twn/playlist.m3u8
EYE戏剧,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/eyetvxiju_twn/playlist.m3u8
EYE旅游,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/eyetvtravel_twn/playlist.m3u8
CN卡通频道,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/Cn/playlist.m3u8
CN卡通频道2,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/momo1_twn/playlist.m3u8
亚洲美食,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/afc_twn/playlist.m3u8
美食星球,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/foodplanet_twn/playlist.m3u8
亚洲旅游台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/asiatravel_twn/playlist.m3u8
好消息2台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/good2_twn/playlist.m3u8
大爱台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/daai_twn/playlist.m3u8
爱尔达体育1台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/eltasport1_twn/playlist.m3u8
爱尔达体育2台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/eltasport2_twn/playlist.m3u8
爱尔达体育3台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/eltasport3_twn/playlist.m3u8
DaaiTV,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/DaaiTV/playlist.m3u8
新加坡CNA,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/cna/playlist.m3u8
MiaoMi,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/MiaoMi/playlist.m3u8
TLC旅游生活频道,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/Tlc/playlist.m3u8
One,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/One/playlist.m3u8
